player_slug,name,height,weight,active,years_of_experience
nba-donte-greene,Donte Greene,83,226,True,4
nba-blake-griffin,Blake Griffin,82,251,True,5
nba-jorge-gutierrez,Jorge Gutierrez,75,195,False,1
nba-hamed-haddadi,Hamed Haddadi,86,265,False,4
nba-jordan-hamilton,Jordan Hamilton,79,220,True,3
nba-justin-hamilton,Justin Hamilton,84,255,True,1
nba-richard-hamilton,Richard Hamilton,79,193,True,13
nba-ben-hansbrough,Ben Hansbrough,75,203,False,0
nba-tyler-hansbrough,Tyler Hansbrough,81,250,True,6
nba-tim-hardaway-jr,Tim Hardaway Jr.,78,205,True,2
nba-james-harden,James Harden,77,220,True,6
nba-maurice-harkless,Maurice Harkless,81,215,True,3
nba-justin-harper,Justin Harper,81,225,False,1
nba-montrezl-harrell,Montrezl Harrell,80,240,True,0
nba-josh-harrellson,Josh Harrellson,82,275,False,2
nba-al-harrington,Al Harrington,81,245,True,15
nba-devin-harris,Devin Harris,75,185,True,11
nba-gary-harris,Gary Harris,76,210,True,1
nba-joe-harris,Joe Harris,78,225,False,0
nba-manny-harris,Manny Harris,77,185,False,2
nba-terrel-harris,Terrel Harris,76,190,False,1
nba-tobias-harris,Tobias Harris,81,235,False,4
nba-aaron-harrison,Aaron Harrison,78,210,True,0
nba-udonis-haslem,Udonis Haslem,80,235,True,12
nba-spencer-hawes,Spencer Hawes,85,245,True,8
nba-gordon-hayward,Gordon Hayward,80,226,True,5
nba-lazar-hayward,Lazar Hayward,78,225,False,2
nba-brendan-haywood,Brendan Haywood,84,263,True,12
nba-gerald-henderson,Gerald Henderson,77,215,True,6
nba-xavier-henry,Xavier Henry,78,220,False,4
nba-john-henson,John Henson,83,229,True,3
nba-mario-hezonja,Mario Hezonja,80,218,True,0
nba-roy-hibbert,Roy Hibbert,86,270,True,7
nba-cory-higgins,Cory Higgins,77,180,False,1
nba-george-hill,George Hill,75,188,True,7
nba-grant-hill,Grant Hill,80,225,True,17
nba-jordan-hill,Jordan Hill,82,235,True,6
nba-solomon-hill,Solomon Hill,79,225,True,2
nba-darrun-hilliard,Darrun Hilliard,78,205,True,0
nba-kirk-hinrich,Kirk Hinrich,76,190,True,12
nba-jrue-holiday,Jrue Holiday,76,205,True,6
nba-justin-holiday,Justin Holiday,78,185,False,2
nba-john-holland,John Holland,77,205,True,0
nba-ryan-hollins,Ryan Hollins,84,240,False,9
nba-rondae-hollis-jefferson,Rondae Hollis-Jefferson,79,220,True,0
nba-richaun-holmes,Richaun Holmes,82,245,True,0
nba-tyler-honeycutt,Tyler Honeycutt,80,188,False,1
nba-rodney-hood,Rodney Hood,80,206,True,1
nba-al-horford,Al Horford,82,245,True,8
nba-dwight-howard,Dwight Howard,83,265,True,11
nba-josh-howard,Josh Howard,79,210,False,0
nba-juwan-howard,Juwan Howard,81,250,True,18
nba-lester-hudson,Lester Hudson,75,190,True,3
nba-marcelo-huertas,Marcelo Huertas,75,200,True,0
nba-josh-huestis,Josh Huestis,79,230,True,0
nba-robbie-hummel,Robbie Hummel,81,219,True,1
nba-kris-humphries,Kris Humphries,81,235,False,11
nba-serge-ibaka,Serge Ibaka,82,245,True,6
nba-andre-iguodala,Andre Iguodala,78,215,True,11
nba-ersan-ilyasova,Ersan Ilyasova,82,235,True,7
nba-joe-ingles,Joe Ingles,80,226,True,1
nba-damien-inglis,Damien Inglis,80,246,True,0
nba-kyrie-irving,Kyrie Irving,75,193,True,4
nba-royal-ivey,Royal Ivey,76,215,False,9
nba-jarrett-jack,Jarrett Jack,75,200,True,10
nba-reggie-jackson,Reggie Jackson,75,208,True,4
nba-stephen-jackson,Stephen Jackson,80,220,False,12
nba-bernard-james,Bernard James,82,240,True,1
nba-damion-james,Damion James,79,225,True,3
nba-lebron-james,LeBron James,80,250,True,12
nba-mike-james,Mike James,74,188,True,10
nba-antawn-jamison,Antawn Jamison,81,235,False,14
nba-othyus-jeffers,Othyus Jeffers,77,210,False,2
nba-al-jefferson,Al Jefferson,82,289,True,11
nba-cory-jefferson,Cory Jefferson,81,218,False,1
nba-richard-jefferson,Richard Jefferson,79,233,True,14
nba-jared-jeffries,Jared Jeffries,83,240,True,10
nba-charles-jenkins,Charles Jenkins,75,215,True,1
nba-john-jenkins,John Jenkins,76,215,True,3
nba-brandon-jennings,Brandon Jennings,73,169,True,6
nba-jonas-jerebko,Jonas Jerebko,82,231,True,5
nba-grant-jerrett,Grant Jerrett,82,232,False,0
nba-amir-johnson,Amir Johnson,81,240,True,10
nba-chris-johnson,Chris Johnson,78,206,True,3
chris-johnson,Chris Johnson,84,210,False,3
nba-ivan-johnson,Ivan Johnson,80,255,False,2
nba-james-johnson,James Johnson,81,250,True,6
nba-joe-johnson,Joe Johnson,79,240,True,14
nba-nick-johnson,Nick Johnson,75,200,False,0
nba-orlando-johnson,Orlando Johnson,77,220,False,1
nba-stanley-johnson,Stanley Johnson,79,245,True,0
nba-tyler-johnson,Tyler Johnson,76,186,True,1
nba-wesley-johnson,Wesley Johnson,79,215,True,5
nba-darius-johnson-odom,Darius Johnson-Odom,74,215,False,0
nba-nikola-jokic,Nikola Jokic,82,250,True,0
nba-dahntay-jones,Dahntay Jones,78,225,True,10
nba-dequan-jones,DeQuan Jones,80,221,False,0
nba-dominique-jones,Dominique Jones,77,215,False,2
nba-dwayne-jones,Dwayne Jones,82,251,False,5
nba-james-jones,James Jones,80,218,True,12
nba-kevin-jones,Kevin Jones,80,260,True,0
nba-perry-jones,Perry Jones,83,235,False,2
nba-solomon-jones,Solomon Jones,82,235,False,7
nba-terrence-jones,Terrence Jones,81,252,True,3
nba-tyus-jones,Tyus Jones,74,195,True,0
nba-deandre-jordan,DeAndre Jordan,83,265,True,7
nba-jerome-jordan,Jerome Jordan,84,253,False,1
nba-cory-joseph,Cory Joseph,75,190,True,4
nba-kris-joseph,Kris Joseph,79,210,False,1
nba-chris-kaman,Chris Kaman,84,265,True,12
nba-frank-kaminsky,Frank Kaminsky,84,240,True,0
nba-enes-kanter,Enes Kanter,83,245,True,4
nba-sergey-karasev,Sergey Karasev,79,208,True,2
nba-sasha-kaun,Sasha Kaun,83,260,True,0
nba-ryan-kelly,Ryan Kelly,83,230,True,2
nba-jason-kidd,Jason Kidd,76,210,True,18
nba-michael-kidd-gilchrist,Michael Kidd-Gilchrist,79,232,True,3
nba-sean-kilpatrick,Sean Kilpatrick,76,210,False,1
nba-andrei-kirilenko,Andrei Kirilenko,81,235,True,11
nba-linas-kleiza,Linas Kleiza,80,234,True,6
nba-brandon-knight,Brandon Knight,75,189,True,4
nba-kyle-korver,Kyle Korver,79,212,True,12
nba-kosta-koufos,Kosta Koufos,84,265,True,7
nba-ognjen-kuzmic,Ognjen Kuzmic,84,260,True,2
nba-doron-lamb,Doron Lamb,76,210,False,1
nba-jeremy-lamb,Jeremy Lamb,77,185,True,3
nba-carl-landry,Carl Landry,81,248,True,8
nba-shane-larkin,Shane Larkin,71,175,True,2
nba-joffrey-lauvergne,Joffrey Lauvergne,83,220,True,1
nba-zach-lavine,Zach LaVine,77,189,True,1
nba-ty-lawson,Ty Lawson,71,195,True,6
nba-ricky-ledo,Ricky Ledo,79,195,False,1
nba-courtney-lee,Courtney Lee,77,200,False,7
nba-david-lee,David Lee,81,245,True,10
nba-malcolm-lee,Malcolm Lee,77,200,False,2
nba-alex-len,Alex Len,85,260,True,2
nba-kawhi-leonard,Kawhi Leonard,79,230,True,4
nba-meyers-leonard,Meyers Leonard,85,245,False,3
nba-jon-leuer,Jon Leuer,82,228,True,4
nba-rashard-lewis,Rashard Lewis,82,230,True,15
nba-deandre-liggins,DeAndre Liggins,78,209,False,2
nba-damian-lillard,Damian Lillard,75,195,True,3
nba-jeremy-lin,Jeremy Lin,75,200,True,5
nba-shaun-livingston,Shaun Livingston,79,192,True,10
nba-kevon-looney,Kevon Looney,81,220,False,0
nba-brook-lopez,Brook Lopez,84,275,True,7
nba-robin-lopez,Robin Lopez,84,255,True,7
nba-kevin-love,Kevin Love,82,251,True,7
nba-kyle-lowry,Kyle Lowry,72,205,True,9
nba-kalin-lucas,Kalin Lucas,73,195,False,0
nba-john-lucas-iii,John Lucas III,71,165,False,5
nba-trey-lyles,Trey Lyles,82,234,True,0
nba-scott-machado,Scott Machado,73,205,False,1
nba-shelvin-mack,Shelvin Mack,75,203,True,4
nba-corey-maggette,Corey Maggette,78,225,False,13
nba-ian-mahinmi,Ian Mahinmi,83,250,True,7
nba-devyn-marble,Devyn Marble,78,200,True,1
nba-shawn-marion,Shawn Marion,79,228,True,13
nba-boban-marjanovic,Boban Marjanovic,87,290,True,0
nba-kendall-marshall,Kendall Marshall,76,200,True,3
nba-cartier-martin,Cartier Martin,79,220,False,7
nba-jarell-martin,Jarell Martin,82,239,True,0
nba-kenyon-martin,Kenyon Martin,81,225,False,13
nba-kevin-martin,Kevin Martin,79,199,True,11
nba-roger-mason-jr,Roger Mason Jr.,77,205,False,9
nba-wesley-matthews,Wesley Matthews,77,220,True,6
nba-jason-maxiell,Jason Maxiell,79,260,True,8
nba-eric-maynor,Eric Maynor,75,175,False,4
nba-o-j-mayo,O.J. Mayo,77,210,True,7
nba-luc-mbah-a-moute,Luc Mbah a Moute,80,230,True,7
nba-james-michael-mcadoo,James Michael McAdoo,81,240,True,1
nba-ray-mccallum,Ray McCallum,75,190,False,2
nba-chris-mccullough,Chris McCullough,83,200,True,0
nba-doug-mcdermott,Doug McDermott,80,225,True,1
nba-mitch-mcgary,Mitch McGary,82,255,True,1
nba-javale-mcgee,JaVale McGee,84,270,True,7
nba-tracy-mcgrady,Tracy McGrady,80,225,True,15
nba-dominic-mcguire,Dominic McGuire,81,235,False,6
nba-ben-mclemore,Ben McLemore,77,195,True,2
nba-jerel-mcneal,Jerel McNeal,75,200,False,0
nba-jordan-mcrae,Jordan McRae,77,179,True,0
nba-josh-mcroberts,Josh McRoberts,82,240,True,8
nba-jodie-meeks,Jodie Meeks,76,210,True,6
nba-salah-mejri,Salah Mejri,86,245,True,0
nba-gal-mekel,Gal Mekel,75,191,False,1
nba-fab-melo,Fab Melo,84,255,True,0
nba-jordan-mickey,Jordan Mickey,80,235,True,0
nba-khris-middleton,Khris Middleton,80,234,True,3
nba-darko-milicic,Darko Milicic,84,275,False,9
nba-andre-miller,Andre Miller,75,200,True,16
nba-darius-miller,Darius Miller,80,235,True,1
nba-mike-miller,Mike Miller,80,218,True,15
nba-quincy-miller,Quincy Miller,81,210,False,1
nba-patrick-mills,Patty Mills,72,185,True,6
nba-elijah-millsap,Elijah Millsap,78,215,False,0
nba-paul-millsap,Paul Millsap,80,246,True,9
nba-nikola-mirotic,Nikola Mirotic,82,220,True,1
nba-tony-mitchell,Tony Mitchell,81,235,False,1
tony-mitchell,Tony Mitchell,78,210,False,0
nba-nazr-mohammed,Nazr Mohammed,82,250,True,16
nba-greg-monroe,Greg Monroe,83,265,True,5
nba-luis-montero,Luis Montero,79,185,True,0
nba-e-twaun-moore,E'Twaun Moore,76,191,True,4
nba-eric-moreland,Eric Moreland,82,238,True,1
nba-darius-morris,Darius Morris,76,195,False,2
nba-marcus-morris,Marcus Morris,81,235,True,4
nba-markieff-morris,Markieff Morris,82,245,True,4
nba-anthony-morrow,Anthony Morrow,77,210,True,7
nba-donatas-motiejunas,Donatas Motiejunas,84,222,False,3
nba-arnett-moultrie,Arnett Moultrie,82,245,True,1
nba-timofey-mozgov,Timofey Mozgov,85,275,True,5
nba-emmanuel-mudiay,Emmanuel Mudiay,77,200,True,0
nba-shabazz-muhammad,Shabazz Muhammad,78,223,True,2
nba-byron-mullens,Byron Mullens,84,275,True,4
nba-xavier-munford,Xavier Munford,75,180,True,0
nba-erik-murphy,Erik Murphy,82,230,True,0
nba-kevin-murphy,Kevin Murphy,78,185,False,0
nba-troy-murphy,Troy Murphy,83,245,False,0
nba-mike-muscala,Mike Muscala,83,240,True,2
nba-larry-nance-jr,Larry Nance Jr.,81,230,True,0
nba-shabazz-napier,Shabazz Napier,73,175,True,1
nba-steve-nash,Steve Nash,75,180,False,18
nba-hamady-n-diaye,Hamady Ndiaye,84,235,False,2
nba-gary-neal,Gary Neal,76,210,False,5
nba-nemanja-nedovic,Nemanja Nedovic,75,197,False,1
nba-jameer-nelson,Jameer Nelson,72,190,True,11
nba-raul-neto,Raul Neto,73,179,True,0
nba-andrew-nicholson,Andrew Nicholson,81,250,True,3
nba-joakim-noah,Joakim Noah,83,232,True,8
nba-nerlens-noel,Nerlens Noel,83,228,True,1
nba-lucas-nogueira,Lucas Nogueira,84,220,True,1
nba-steve-novak,Steve Novak,82,225,False,9
nba-dirk-nowitzki,Dirk Nowitzki,84,245,True,17
nba-james-nunnally,James Nunnally,79,205,False,0
nba-jusuf-nurkic,Jusuf Nurkic,84,280,True,1
nba-j-j-o-brien,J.J. O'Brien,79,220,False,0
nba-greg-oden,Greg Oden,84,285,False,0
nba-lamar-odom,Lamar Odom,82,230,True,13
nba-tim-ohlbrecht,Tim Ohlbrecht,83,255,False,1
nba-emeka-okafor,Emeka Okafor,82,255,True,9
nba-jahlil-okafor,Jahlil Okafor,83,275,True,0
nba-victor-oladipo,Victor Oladipo,76,210,True,2
nba-kelly-olynyk,Kelly Olynyk,84,238,True,2
nba-jermaine-o-neal,Jermaine O'Neal,83,255,True,17
nba-arinze-onuaku,Arinze Onuaku,81,275,False,1
nba-kyle-o-quinn,Kyle O'Quinn,82,250,True,3
nba-daniel-orton,Daniel Orton,82,275,False,2
nba-kelly-oubre,Kelly Oubre,79,205,True,0
nba-travis-outlaw,Travis Outlaw,81,207,True,10
nba-zaza-pachulia,Zaza Pachulia,83,275,True,12
nba-kostas-papanikolaou,Kostas Papanikolaou,80,225,False,0
nba-jannero-pargo,Jannero Pargo,73,185,True,9
nba-jeremy-pargo,Jeremy Pargo,74,219,False,1
nba-jabari-parker,Jabari Parker,80,250,True,1
nba-tony-parker,Tony Parker,74,185,True,14
nba-chandler-parsons,Chandler Parsons,82,230,True,4
nba-lamar-patterson,Lamar Patterson,77,225,True,0
nba-patrick-patterson,Patrick Patterson,81,235,True,5
nba-chris-paul,Chris Paul,72,175,True,10
