nba_id,stattleship_slug
203087,nba-jeremy-lamb
203504,nba-trey-burke
203111,nba-orlando-johnson
200757,nba-thabo-sefolosha
2594,nba-kyle-korver
201161,nba-daequan-cook
101138,nba-brandon-bass
2408,nba-melvin-ely
201953,nba-eric-maynor
201163,nba-wilson-chandler
965,nba-derek-fisher
203928,nba-cory-jefferson
202332,nba-cole-aldrich
2563,nba-dahntay-jones
2210,nba-richard-jefferson
201177,nba-josh-mcroberts
202343,nba-elliot-williams
203210,nba-jamychal-green
202389,nba-timofey-mozgov
203994,nba-jusuf-nurkic
203496,nba-robert-covington
203968,nba-jerrelle-benimon
2863,nba-damien-wilkins
203473,nba-dewayne-dedmon
202327,nba-ekpe-udoh
202337,nba-luke-babbitt
203958,nba-andre-dawkins
202708,nba-norris-cole
203561,nba-brandon-davies
203495,nba-ricky-ledo
203122,nba-kevin-murphy
200748,nba-tyrus-thomas
2564,nba-boris-diaw
202355,nba-hassan-whiteside
202336,nba-larry-sanders
203200,nba-justin-holiday
202349,nba-greivis-vasquez
255,nba-grant-hill
2405,nba-amar-e-stoudemire
202345,nba-damion-james
203112,nba-quincy-acy
203091,nba-royce-white
1626171,nba-bobby-portis
202726,nba-andrew-goudelock
200752,nba-rudy-gay
201196,nba-ramon-sessions
203517,nba-nemanja-nedovic
203467,nba-carrick-felix
2735,nba-josh-childress
203136,nba-ognjen-kuzmic
203544,nba-pero-antic
202719,nba-jeremy-tyler
203459,nba-allen-crabbe
202704,nba-reggie-jackson
2400,nba-drew-gooden
202809,nba-cory-higgins
203186,nba-willie-reed
1626175,nba-jordan-mickey
200770,nba-jordan-farmar
203954,nba-joel-embiid
436,nba-juwan-howard
1626178,nba-rondae-hollis-jefferson
101198,nba-will-bynum
202335,nba-patrick-patterson
203477,nba-isaiah-canaan
202330,nba-gordon-hayward
201158,nba-marco-belinelli
203900,nba-markel-brown
1890,nba-shawn-marion
203918,nba-rodney-hood
711,nba-jerry-stackhouse
201960,nba-demarre-carroll
