nba_id,game_time,played_at_home,played_against,plus_minus,time_played_total,rebounds_total,assists,steals,blocks,turnovers,points
201939,1426910400000,nba-uta,True,12,32,3,3,3,0,0,24
201939,1427083200000,nba-was,True,30,28,5,6,2,0,2,24
201939,1427169600000,nba-por,False,12,35,2,10,1,0,2,33
201939,1427428800000,nba-mem,False,26,34,3,10,3,1,4,38
201939,1427515200000,nba-mil,False,-1,30,4,6,1,0,6,25
201939,1427774400000,nba-lac,False,-1,36,1,4,1,0,3,27
201939,1427947200000,nba-phx,True,-1,34,8,5,0,0,6,28
201939,1428120000000,nba-dal,False,9,27,4,3,1,0,1,11
201939,1428206400000,nba-sas,False,-16,30,4,6,1,0,4,24
201939,1428379200000,nba-nop,False,4,35,6,9,1,0,2,25
201939,1428552000000,nba-por,True,21,35,2,10,0,0,4,45
201939,1428724800000,nba-min,True,17,35,4,7,4,0,3,34
201939,1428897600000,nba-mem,True,24,29,4,8,1,0,3,15
201939,1429070400000,nba-den,True,14,19,4,7,5,0,2,10
201939,1445918400000,nba-nop,True,12,36,6,7,2,0,2,40
201939,1446177600000,nba-hou,False,12,27,7,6,1,0,1,25
201939,1446264000000,nba-nop,False,16,36,4,9,4,0,2,53
201939,1446440400000,nba-mem,True,37,28,3,3,3,1,3,30
201939,1446613200000,nba-lac,True,7,33,5,4,1,0,0,31
201939,1446786000000,nba-den,True,14,35,7,10,3,1,4,34
201939,1446872400000,nba-sac,False,6,39,6,3,2,0,6,24
201939,1447045200000,nba-det,True,12,37,5,5,3,0,5,22
201939,1447218000000,nba-mem,False,16,35,5,5,5,1,4,28
201939,1447304400000,nba-min,False,21,38,5,4,2,0,3,46
201939,1447477200000,nba-bkn,True,3,44,3,6,1,0,4,34
201939,1447736400000,nba-tor,True,11,40,2,9,2,0,7,37
201939,1447909200000,nba-lac,False,12,37,11,4,3,0,7,40
201939,1447995600000,nba-chi,True,11,36,5,4,4,0,6,27
201939,1448168400000,nba-den,False,11,28,4,7,3,0,4,19
201939,1448341200000,nba-lal,True,36,30,4,9,2,0,0,24
201939,1448600400000,nba-phx,False,27,31,6,8,2,0,6,41
201939,1448686800000,nba-sac,True,19,30,4,6,3,0,1,19
201939,1448859600000,nba-uta,False,12,37,6,5,2,0,2,26
201939,1449032400000,nba-cha,False,19,31,3,5,0,0,5,40
201939,1449291600000,nba-tor,False,15,38,2,7,0,0,3,44
201939,1449378000000,nba-bkn,False,10,32,5,2,1,0,4,28
201939,1449550800000,nba-ind,False,18,36,7,10,3,0,4,29
201939,1449810000000,nba-bos,False,15,47,11,8,2,0,8,38
201939,1449896400000,nba-mil,False,0,35,7,5,1,0,2,28
201939,1450242000000,nba-phx,True,37,30,2,7,1,0,3,25
201939,1450414800000,nba-mil,True,13,39,10,9,2,0,6,26
201939,1450846800000,nba-uta,True,21,34,5,9,3,0,3,16
201939,1451019600000,nba-cle,True,15,37,7,7,2,0,3,19
201939,1451278800000,nba-sac,True,24,30,14,10,2,0,2,23
201939,1451710800000,nba-den,True,12,14,1,4,2,0,2,5
201939,1451883600000,nba-cha,True,1,32,3,4,2,0,2,30
201939,1451970000000,nba-lal,False,28,26,1,6,3,0,3,17
201939,1452229200000,nba-por,False,22,29,3,9,1,0,1,26
201939,1452315600000,nba-sac,False,16,38,6,11,1,1,4,38
201939,1452488400000,nba-mia,True,-3,38,2,6,1,0,1,31
201939,1452661200000,nba-den,False,-4,40,5,9,3,1,8,38
201939,1452747600000,nba-lal,True,14,30,6,3,1,0,3,26
201939,1452920400000,nba-det,False,2,37,7,5,2,0,2,38
201939,1453093200000,nba-cle,False,34,28,5,4,3,0,1,35
201939,1453266000000,nba-chi,False,36,34,7,11,2,1,2,25
201939,1453438800000,nba-ind,True,22,37,10,12,1,0,2,39
